"ID","Parcel ID","Address","City","County","State","Enrolled in Appeals","Assessment Enrollment Level (2025)"
"99638","106939-0785","12753 Daylight Trl","Jacksonville","Duval","FL","False","Assessments (Broken Out)"
"99614","26-22-27-1986-00-650","307 Daniels Pointe Dr","WINTER GARDEN","Orange","FL","False","Assessments (Broken Out)"
"99609","22-24-26-0830-000-32500","2125 Kiwi Trl","CLERMONT","Lake","FL","False","Assessments (Broken Out)"
"996073","U-02-30-19-C8B-000032-00002.0","7228 Spring Snowflake Ave","Tampa","Hillsborough","FL","False","Assessments (Broken Out)"
"9960","U-29-30-20-60W-000000-00057.0","11108 Robin Lake Ct","RIVERVIEW","Hillsborough","FL","False","Assessments (Broken Out)"
"995804","34-25-16-0030-00000-0170","7751 Crosier Ct","NEW PORT RICHEY","Pasco","FL","False","Assessments (Broken Out)"
"995749","40052601020600228","2555 Bear Creek Way","Green Cove Springs","Clay","FL","False","Assessments (Broken Out)"
"99572","U-20-29-21-5PC-B00000-00053.0","3332 Pine Top Dr","VALRICO","Hillsborough","FL","False","Assessments (Broken Out)"
"99570","22-43-24-04-00018.0290","17801 Pineapple Palm Ct","NORTH FORT MYERS","Lee","FL","False","Assessments (Broken Out)"
"99568","21-45-25-10-00000.0030","8976 Cypress Preserve Pl","FORT MYERS","Lee","FL","False","Assessments (Broken Out)"
"99495","17-22-26-1210-000-08100","819 Elm Forest Dr","MINNEOLA","Lake","FL","False","Assessments (Broken Out)"
"99492","U-03-29-20-65L-000000-00111.0","11805 Prickly Pear Way","SEFFNER","Hillsborough","FL","False","Assessments (Broken Out)"
"99486","106369-0600","2817 Alaskan Way","JACKSONVILLE","Duval","FL","False","Assessments (Broken Out)"
"994496","23-27-11-000863-000500","2037 Harvest Landing Cir","Lakeland","Polk","FL","False","Assessments (Broken Out)"
"99445","12-30-15-20070-019-0030","13125 Thoroughbred Loop","LARGO","Pinellas","FL","False","Assessments (Broken Out)"
"994110","14-19-25-0055-000-07300","33226 Kaylee Way","LEESBURG","Lake","FL","False","Assessments (Broken Out)"
"99395","U-17-31-20-2VK-D00000-00013.0","11025 Whittney Chase Dr","RIVERVIEW","Hillsborough","FL","False","Assessments (Broken Out)"
"993864","35-21-30-512-0000-2820","5353 Lanyard Ct","WINTER PARK","Seminole","FL","False","Assessments (Broken Out)"
"993862","04-26-30-0057-0001-1420","641 Florentino Pl","SAINT CLOUD","Osceola","FL","False","Assessments (Broken Out)"
"993860","U-05-31-20-98U-000010-00002.0","10408 Red Carpet Ct","RIVERVIEW","Hillsborough","FL","False","Assessments (Broken Out)"
"993859","U-28-29-20-2HF-000018-00008.0","628 Kensington Lake Cir","BRANDON","Hillsborough","FL","False","Assessments (Broken Out)"
"993858","26-36-02-26-W-13","1479 O'Conner Ave","MELBOURNE","Brevard","FL","False","Assessments (Broken Out)"
"993856","30-22-31-8082-01-360","9262 Shepton St","ORLANDO","Orange","FL","False","Assessments (Broken Out)"
"993854","813062090010","3464 Trade St","DELTONA","Volusia","FL","False","Assessments (Broken Out)"
"993852","15-25-16-0790-00001-4420","10338 Viridian Dr","PORT RICHEY","Pasco","FL","False","Assessments (Broken Out)"
"993851","22-26-20-0030-00700-0030","3541 Juneberry Dr","WESLEY CHAPEL","Pasco","FL","False","Assessments (Broken Out)"
"993848","840257000370","205 Tree Branch Ln","EDGEWATER","Volusia","FL","False","Assessments (Broken Out)"
"993847","34-21-30-5DG-0000-2240","5424 Tangerine Ave","WINTER PARK","Seminole","FL","False","Assessments (Broken Out)"
"993833","813034330160","2970 Bedford St","DELTONA","Volusia","FL","False","Assessments (Broken Out)"
"993832","07-11-31-7025-00420-0040","24 Putter Dr","Palm Coast","Flagler","FL","False","Assessments (Broken Out)"
"993831","11-25-16-016A-00000-2290","11625 Fox Run","PORT RICHEY","Pasco","FL","False","Assessments (Broken Out)"
"993819","24-22-31-7845-00-760","14863 Lady Victoria Blvd","ORLANDO","Orange","FL","False","Assessments (Broken Out)"
"993816","A-14-28-18-3DB-A00000-00022.0","10209 N Fleetwood Dr","TAMPA","Hillsborough","FL","False","Assessments (Broken Out)"
"993804","23-26-18-0080-00800-0260","3050 Silvermill Loop","LAND O LAKES","Pasco","FL","False","Assessments (Broken Out)"
"99361","14-22-31-0789-00-030","2230 Justin Ave","ORLANDO","Orange","FL","False","Assessments (Broken Out)"
"99357","25-25-28-1373-0001-2730","671 Eagle Pointe South","KISSIMMEE","Osceola","FL","False","Assessments (Broken Out)"
"99352","00-42-45-13-13-002-0830","8621 Binghamton Ave","Boynton Beach","Palm Beach","FL","False","Assessments (Broken Out)"
"99348","U-07-30-20-5VX-000004-00014.0","6335 Gondola Dr","RIVERVIEW","Hillsborough","FL","False","Assessments (Broken Out)"
"99346","U-06-31-20-5WA-000023-00051.0","10422 Hunters Haven Blvd","RIVERVIEW","Hillsborough","FL","False","Assessments (Broken Out)"
"993393","35042500822301553","1634 Northglen Cir","Middleburg","Clay","FL","False","Assessments (Broken Out)"
"99325","01-27-15-29057-000-1780","1840 Wood Bend St","TARPON SPRINGS","Pinellas","FL","False","Assessments (Broken Out)"
"99289","746306109","3303 61st Ter E","ELLENTON","Manatee","FL","False","Assessments (Broken Out)"
"992756","41052600882300149","2215 Botany St","MIDDLEBURG","Clay","FL","False","Assessments (Broken Out)"
"99264","106603-0490","12613 Wooded Bluff Ct","JACKSONVILLE","Duval","FL","False","Assessments (Broken Out)"
"992596","29-2N-28-0100-0001-0000","95012 Timberlake Dr","FERNANDINA BEACH","Nassau","FL","False","Assessments (Broken Out)"
"99233","U-09-27-20-5PP-000004-00028.0","18120 Lembrecht Way","TAMPA","Hillsborough","FL","False","Assessments (Broken Out)"
"992299","29-26-18-0110-02100-0030","17855 Cloudless Bliss Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992298","29-26-18-0110-02700-0080","2187 Skybrooke Blvd","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992297","29-26-18-0110-02700-0070","2179 Skybrooke Blvd","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992296","29-26-18-0110-02700-0060","2161 Skybrooke Blvd","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992295","29-26-18-0110-02700-0050","2157 Skybrooke Blvd","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992293","29-26-18-0110-02700-0040","2149 Skybrooke Blvd","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992292","29-26-18-0110-02700-0030","2141 Skybrooke Blvd","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992291","29-26-18-0110-02700-0020","2133 Skybrooke Blvd","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992290","29-26-18-0110-02700-0010","2125 Skybrooke Blvd","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992289","29-26-18-0110-02600-0080","2053 Skybrooke Blvd","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992288","29-26-18-0110-02600-0070","2045 Skybrooke Blvd","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992287","29-26-18-0110-02600-0060","2037 Skybrooke Blvd","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992286","29-26-18-0110-02600-0050","2029 Skybrooke Blvd","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992285","29-26-18-0110-02600-0040","2021 Skybrooke Blvd","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992284","29-26-18-0110-02600-0030","2015 Skybrooke Blvd","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992283","29-26-18-0110-02600-0020","2001 Skybrooke Blvd","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992282","29-26-18-0110-02600-0010","1993 Skybrooke Blvd","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992281","29-26-18-0110-02500-0220","18002 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992280","29-26-18-0110-02500-0210","17994 Blissful Stars Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992278","29-26-18-0110-02500-0190","17978 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992277","29-26-18-0110-02500-0180","17970 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992276","29-26-18-0110-02500-0160","17954 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992275","29-26-18-0110-02500-0140","17940 Blissful Stars Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992274","29-26-18-0110-02500-0130","17932 Blissful Stars Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992273","29-26-18-0110-02500-0120","17924 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992272","29-26-18-0110-02500-0110","17916 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992271","29-26-18-0110-02500-0100","17908 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992270","29-26-18-0110-02500-0090","17900 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992269","29-26-18-0110-02500-0080","17892 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992268","29-26-18-0110-02500-0070","17884 Blissful Stars Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992267","29-26-18-0110-02500-0060","17876 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992266","29-26-18-0110-02500-0050","17868 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992264","29-26-18-0110-02500-0040","17862 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992263","29-26-18-0110-02500-0030","17854 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992262","29-26-18-0110-02500-0020","17846 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992261","29-26-18-0110-02500-0010","17838 Blissful Stars Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992260","29-26-18-0110-02400-0360","17839 Blissful Stars Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992259","29-26-18-0110-02400-0350","17847 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992258","29-26-18-0110-02400-0340","17855 Blissful Stars Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992257","29-26-18-0110-02400-0330","17863 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992256","29-26-18-0110-02400-0320","17871 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992255","29-26-18-0110-02400-0310","17879 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992254","29-26-18-0110-02400-0300","17887 Blissful Stars Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992253","29-26-18-0110-02400-0290","17895 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992252","29-26-18-0110-02400-0280","17903 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992251","29-26-18-0110-02400-0260","17919 Blissful Stars Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992250","29-26-18-0110-02400-0230","17947 Blissful Star Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992249","29-26-18-0110-02400-0160","17958 Beaming Rays Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992248","29-26-18-0110-02400-0120","17922 Beaming Rays Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992247","29-26-18-0110-02400-0100","17908 Beaming Rays Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992246","29-26-18-0110-02400-0090","17900 Beaming Rays Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992245","29-26-18-0110-02400-0080","17892 Beaming Rays Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992244","29-26-18-0110-02400-0070","17884 Beaming Rays Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992243","29-26-18-0110-02400-0060","17876 Beaming Rays Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992242","29-26-18-0110-02400-0050","17870 Beaming Rays Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992241","29-26-18-0110-02400-0040","17862 Beaming Rays Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992240","29-26-18-0110-02400-0030","17854 Beaming Rays Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992239","29-26-18-0110-02400-0020","17846 Beaming Rays Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992238","29-26-18-0110-02400-0010","17838 Beaming Rays Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992237","29-26-18-0110-02100-0050","17871 Cloudless Bliss Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992236","29-26-18-0110-02100-0040","17863 Cloudless Bliss Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992235","29-26-18-0110-02100-0020","17847 Cloudless Bliss Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992234","29-26-18-0110-02100-0010","17839 Cloudless Bliss Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992233","29-26-18-0120-01000-0040","17556 Radiant Shine Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992232","29-26-18-0120-01000-0030","17564 Radiant Shine Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992231","29-26-18-0120-01000-0020","17572 Radiant Shine Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992229","29-26-18-0120-01000-0010","17588 Radiant Shine Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992228","29-26-18-0120-00900-0060","17512 Radiant Shine Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992227","29-26-18-0120-00900-0050","17520 Radiant Shine Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992226","29-26-18-0120-00900-0030","17532 Radiant Shine Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992225","29-26-18-0120-00900-0020","17536 Radiant Shine Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992224","29-26-18-0120-00900-0010","17544 Radiant Shine Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992223","29-26-18-0120-00800-0040","17486 Radiant Shine Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992222","29-26-18-0120-00800-0030","17492 Radiant Shine Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992221","29-26-18-0120-00800-0020","17498 Radiant Shine Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992220","29-26-18-0120-00800-0010","17506 Radiant Shine Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992219","29-26-18-0120-00700-0040","17460 Radiant Shine Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992218","29-26-18-0120-00600-0050","2123 Cerulean Sky Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992217","29-26-18-0120-00500-0010","2137 Cerulean Sky Dr","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992216","29-26-18-0120-01800-0060","2149 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992215","29-26-18-0120-01800-0050","2145 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992214","29-26-18-0120-01800-0040","2141 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992212","29-26-18-0120-01600-0080","2162 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992211","29-26-18-0120-01600-0070","2166 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992210","29-26-18-0120-01600-0060","2170 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992209","29-26-18-0120-01600-0050","2174 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992208","29-26-18-0120-01600-0040","2178 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992207","29-26-18-0120-01600-0030","2182 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992206","29-26-18-0120-01600-0020","2186 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992205","29-26-18-0120-01600-0010","2190 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992204","29-26-18-0120-01500-0080","2126 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992203","29-26-18-0120-01500-0070","2132 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992202","29-26-18-0120-01500-0060","2136 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992201","29-26-18-0120-01500-0050","2140 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992200","29-26-18-0120-01500-0040","2144 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992199","29-26-18-0120-01500-0030","2148 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992198","29-26-18-0120-01500-0020","2152 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992196","29-26-18-0120-01500-0010","2156 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992195","29-26-18-0120-01400-0080","2157 Great Sapphire Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992194","29-26-18-0120-01400-0070","2153 Great Sapphire Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992193","29-26-18-0120-01400-0060","2149 Great Sapphire Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992191","29-26-18-0120-01400-0050","2145 Great Sapphire Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992190","29-26-18-0120-01400-0040","2141 Great Sapphire Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992189","29-26-18-0120-01400-0030","2137 Great Sapphire Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992188","29-26-18-0120-01400-0020","2133 Great Sapphire Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992187","29-26-18-0120-01400-0010","2129 Great Sapphire Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992186","29-26-18-0120-01300-0080","2191 Great Sapphire Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992185","29-26-18-0120-01300-0070","2187 Great Sapphire Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992184","29-26-18-0120-01300-0060","2183 Great Sapphire Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992183","29-26-18-0120-01300-0050","2179 Great Sapphire Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992182","29-26-18-0120-01300-0040","2175 Great Sapphire Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992181","29-26-18-0120-01300-0030","2171 Great Sapphire Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992180","29-26-18-0120-01300-0020","2167 Great Sapphire Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"992179","29-26-18-0120-01300-0010","2163 Great Sapphire Ln","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"9920","26-24-26-1800-000-03700","16623 Rising Star Dr","CLERMONT","Lake","FL","False","Assessments (Broken Out)"
"99188","31-24-30-3870-01-080","1828 Islebrook Dr","ORLANDO","Orange","FL","False","Assessments (Broken Out)"
"99187","00-41-47-36-08-000-0080","23348 Tranquil Ln","Boca Raton","Palm Beach","FL","False","Assessments (Broken Out)"
"99167","002060-3060","2273 Brian Lakes Dr E","JACKSONVILLE","Duval","FL","False","Assessments (Broken Out)"
"991406","016468-4505","8077 Buchannan Ct","JACKSONVILLE","Duval","FL","False","Assessments (Broken Out)"
"99131","U-20-29-21-5PD-B00000-00114.0","627 Somerstone Dr","VALRICO","Hillsborough","FL","False","Assessments (Broken Out)"
"99005","29-20-28-6029-01-210","1347 Edison Tree Rd","APOPKA","Orange","FL","False","Assessments (Broken Out)"
"98968","U-29-30-21-649-000060-00006.0","6171 Skylarkcrest Dr","LITHIA","Hillsborough","FL","False","Assessments (Broken Out)"
"989582","015322-0590","9186 Mill Grove Dr","JACKSONVILLE","Duval","FL","False","Assessments (Broken Out)"
"98867","00-42-43-33-06-000-0440","753 Triana St","West Palm Beach","Palm Beach","FL","False","Assessments (Broken Out)"
"98866","73-41-44-10-35-000-0410","12292 Sunset Point Ln","Wellington","Palm Beach","FL","False","Assessments (Broken Out)"
"98864","T-24-28-19-5UC-000002-00006.0","8711 Morrison Oaks Ct","TEMPLE TERRACE","Hillsborough","FL","False","Assessments (Broken Out)"
"988575","4052500900300298","2841 Tuscarora Trl","MIDDLEBURG","Clay","FL","False","Assessments (Broken Out)"
"98850","106369-2110","13904 Fish Eagle Dr E","Jacksonville","Duval","FL","False","Assessments (Broken Out)"
"98804","106939-8200","667 Bonaparte Dr","JACKSONVILLE","Duval","FL","False","Assessments (Broken Out)"
"98798","004025-5510","9942 Rosewood Glen Ln","JACKSONVILLE","Duval","FL","False","Assessments (Broken Out)"
"987920","U-18-29-21-9S5-000002-00022.0","2229 Landside Dr","VALRICO","Hillsborough","FL","False","Assessments (Broken Out)"
"987900","U-28-29-21-A5L-000001-00034.0","3919 Kearsney Abbey Cir","DOVER","Hillsborough","FL","False","Assessments (Broken Out)"
"98754","24-22-31-1540-00-300","2041 Colonial Woods Blvd","Orlando","Orange","FL","False","Assessments (Broken Out)"
"986998","008806-3655","1568 Saddlebrook Ln","Jacksonville","Duval","FL","False","Assessments (Broken Out)"
"986876","23-28-28-138013-000230","3340 Tawny Grove Pl","Lakeland","Polk","FL","False","Assessments (Broken Out)"
"986670","008891-8120","10161 Meadow Pointe Dr","JACKSONVILLE","Duval","FL","False","Assessments (Broken Out)"
"986437","U-25-29-20-2FY-000001-00026.0","411 Sand Ridge Dr","VALRICO","Hillsborough","FL","False","Assessments (Broken Out)"
"986297","7042500787000504","543 Ryker Way","ORANGE PARK","Clay","FL","False","Assessments (Broken Out)"
"98622","009776-0030","108 N Lake Cunningham Ave","SAINT JOHNS","St Johns","FL","False","Assessments (Broken Out)"
"98579","U-14-31-19-5IZ-000001-00028.0","7523 Regents Garden Way","APOLLO BEACH","Hillsborough","FL","False","Assessments (Broken Out)"
"98504","21-22-28-8613-01-130","1005 Ginger Spice Ln","OCOEE","Orange","FL","False","Assessments (Broken Out)"
"984513","U-05-31-20-9XY-000005-00010.0","12225 Fawn Brindle St","RIVERVIEW","Hillsborough","FL","False","Assessments (Broken Out)"
"98427","584165708","12014 Winding Woods Way","LAKEWOOD RANCH","Manatee","FL","False","Assessments (Broken Out)"
"98424","584170509","12627 Rockrose Gln","LAKEWOOD RANCH","Manatee","FL","False","Assessments (Broken Out)"
"98415","484117120830","3424 NW 112th Way","CORAL SPRINGS","Broward","FL","False","Assessments (Broken Out)"
"98386","044279-4590","2259 Rockybrook Ct","JACKSONVILLE","Duval","FL","False","Assessments (Broken Out)"
"98370","30-5922-043-0180","14521 SW 139th Avenue Cir W","MIAMI","Miami-Dade","FL","False","Assessments (Broken Out)"
"982378","1822810010","12 Litke Ln","SAINT AUGUSTINE","St Johns","FL","False","Assessments (Broken Out)"
"98172","106578-5535","12300 Hickory Forest Rd","JACKSONVILLE","Duval","FL","False","Assessments (Broken Out)"
"9813","232630066800012370","4870 Preserve Blvd","SAINT CLOUD","Osceola","FL","False","Assessments (Broken Out)"
"98123","22052501010900831","2863 Cross Creek Dr","GREEN COVE SPRINGS","Clay","FL","False","Assessments (Broken Out)"
"981182","09-2N-27-0231-0055-0000","86701 Cartesian Pointe Dr","YULEE","Nassau","FL","False","Assessments (Broken Out)"
"98099","U-07-30-21-36B-000014-00030.0","2508 Mendocino Way","VALRICO","Hillsborough","FL","False","Assessments (Broken Out)"
"980349","23-29-27-142045-000930","2703 Redwood St","MULBERRY","Polk","FL","False","Assessments (Broken Out)"
"980030","22-25-18-0050-01200-0040","19034 Sunterra Dr","LAND O LAKES","Pasco","FL","False","Assessments (Broken Out)"
"979917","26-24-26-1801-000-04600","1504 Blue Sky Way","CLERMONT","Lake","FL","False","Assessments (Broken Out)"
"97968","36-26-16-0050-00000-1570","1709 Pink Guara Ct","TRINITY","Pasco","FL","False","Assessments (Broken Out)"
"97950","0030080049","3512 Chinaberry Ln","SARASOTA","Sarasota","FL","False","Assessments (Broken Out)"
"979128","42-2N-27-4370-0002-0330","86005 Sands Way","YULEE","Nassau","FL","False","Assessments (Broken Out)"
"979044","0733250580","33 Cody St","SAINT AUGUSTINE","St Johns","FL","False","Assessments (Broken Out)"
"97902","019699-1680","1057 Cherry Point Way","JACKSONVILLE","Duval","FL","False","Assessments (Broken Out)"
"97896","11-23-25-2250-000-04200","10401 Vista Pines Loop","CLERMONT","Lake","FL","False","Assessments (Broken Out)"
"97866","U-24-29-20-2F6-C00000-00011.0","402 Sonoma Dr","VALRICO","Hillsborough","FL","False","Assessments (Broken Out)"
